,descripteur,disparition,envergure,espece,famille,genre,image,localisation,ordre,poids,taille,text,title,id,class_bird,french name
45,"Cassin, 1852",,  117 à 124 cm.,heermanni,"
 ",Laridés,https://www.oiseaux.net/photos/serge.nicolle/images/goeland.de.heermann.seni.3p.jpg,https://www.oiseaux.net/maps/images/goeland.de.heermann.1.200.w.png,Charadriiformes,  370 à 640 g,  49 cm,Goéland de Heermann (Larus heermanni) est un oiseau qui appartient à la famille des Laridés.,Goéland de Heermann,61,061.Heermann_Gull,Goéland de Heermann
46,"Pallas, 1811",,  33 à 36 cm.,pusilla,"
 ",Alcidés,https://www.oiseaux.net/photos/serge.nicolle/images/id/starique.minuscule.seni.0p.jpg,https://www.oiseaux.net/maps/images/starique.minuscule.1.200.w.png,Charadriiformes,  ,  14 cm,Starique minuscule (Aethia pusilla) est un oiseau qui appartient à la famille des Alcidés.,Starique minuscule,6,006.Least_Auklet,Starique minuscule
47,"Linnaeus, 1758",LC,  34 à 43 cm.,cristata,"
 ",Corvidés,https://www.oiseaux.net/photos/denis.chavigny/images/geai.bleu.dcha.0p.jpg,,Passériformes,  70 à 100 g,  30 cm,"Le bec est assez fin. La queue de taille moyenne est étagée à son bout. La tête porte une huppe assez modeste qui commence à la moitié du capuchon. Chez la race nominale, les vibrisses nasales sont blanc bleuâtre. Le capuchon et la crête sont bleu-violet pâle. Une étroite bande noire, pas toujours d'égale largeur, part du capuchon, surligne l'arrière des oreillons et se poursuit jusqu'au bas de la poitrine où elle forme une sorte de collier. Les couvertures auriculaires, le court sourcil au dessus de l'oeil, la gorge et le reste des parties inférieures affichent une couleur blanchâtre avec une légère nuance de mauve pâle ou de gris-violet. Le dessus du corps est bleu-gris terne avec une teinte bleu-violet, devenant bleu plus éclatant sur le croupion et les sus-caudales. Les ailes sont bleu-ciel brillant, avec de nombreuses barres noires et quelques taches blanches au niveau des secondaires. La queue affiche la même couleur que les ailes avec de fines barres noires bien visibles et de larges terminaisons blanches sur toutes les rectrices hormis la paire centrale. Le dessous des ailes et de la queue sont gris terne. Le bec et les pattes sont noirs. L'iris est brun noirâtre. 
Les sexes sont identiques. Les juvéniles présentent une livrée plus terne et des parties supérieures plus grisâtres. Les barres sur les ailes sont presque absentes. Celles de la queue sont plus disjointes. Les terminaisons blanches des rectrices sont moins nombreuses.",Geai bleu,73,073.Blue_Jay,Geai bleu
48,,,,,,,https://www.oiseaux.net/photos/jean-michel.fenerole/images/geai.bigarre.jefe.2p.152.h.jpg,,,,,Geai bigarré (Cyanocorax luxuosus) est un oiseau qui appartient à la famille des Corvidés.,Geai bigarré,75,075.Green_Jay,Geai bigarré
49,"Bosc, 1795",,  - ,coerulescens,"
 ",Corvidés,https://www.oiseaux.net/photos/serge.nicolle/images/geai.a.gorge.blanche.seni.1p.jpg,,Passériformes,  75 à 85 g,  26 cm,"Ce geai de taille moyenne, sans crête et avec une queue assez allongée, possède un bec trapu terminé par un crochet. Il a une tête bleu violacé avec un front blanc de givre qui se mélange avec le blanc de la région sourcilière. La gorge blanche est striée de bleu. Les parties supérieures sont gris-brun clair, contrastant avec le croupion, les sus-caudales et les rectrices qui forment un ensemble bleu terne. Les couvertures alaires sont bleu mat, les primaires ont une bordure gris sombre sans éclat. On peut apercevoir un collier bleu qui sépare la gorge blanchâtre du ventre et de la poitrine grisâtres. Les flancs sont légèrement striés de brun, les couvertures sous-caudales sont bleues. Les iris sont bruns, le bec et les pattes affichent une couleur noire.
Les geais à george blanche se distinguent des autres geais du genre Aphelocaoma par le fait que le blanc du front se fond dans le blanc du sourcil et par la plus grande pâleur du dos. Les sexes sont similaires. Toutefois la femelle est un peu plus petite et son plumage est plus clair. Les juvéniles se distinguent de leurs parents par leur tête brun foncé, leurs ailes et leur queue bleu plus terne, leurs scapulaires, leurs couvertures moyennes et leurs sus-caudales brunes. Ils ont initialement un bec brunâtre, une bouche jaune et des pattes brun noirâtre. Les immatures sont plus facilement différenciables des adultes grâce aux pointes brunes de leurs couvertures primaires.",Geai à gorge blanche,74,074.Florida_Jay,Geai à gorge blanche
50,"Latham, 1790",,  - ,novaehollandiae,"
 ",Casuariidés,https://www.oiseaux.net/photos/jan.dungel/images/emeu.d.australie.jadu.0p.jpg,,Casuariiformes,  30000 à 45000 g,  190 cm,"Comme l'autruche et le casoar, l'émeu appartient au groupe des ratites dont la particularité est de ne pas posséder de bréchet au sternum, os de la poitrine, ce qui le rend totalement incapable de voler. Son plumage long et frisé est brun foncé à brun-gris. Les faces latérales du cou sont couvertes par une peau nue, bleue. Le bec est gris, les ailes sont atrophiées et cachées sous les plumes. Elles peuvent être écartées du corps par temps chaud et favoriser ainsi le refroidissement corporel. Le corps massif est porté par deux puissantes pattes grises munies de trois grands orteils à chaque pied. Les poussins ont un crâne tacheté et un corps duveteux rayé de bandes noires et brunes.",Émeu d'Australie,222,222.Emeu,Émeu d'Australie
51,,,,,,,https://www.oiseaux.net/photos/patrick.ingremeau/images/diamant.de.gould.pain.5p.152.h.jpg,,,,,"Le mâle et la femelle diffèrent légèrement. Chez le mâle adulte, la zone qui va du front au capuchon ainsi que la face sont soit noirs, soit rouges, soit jaunes. Les oiseaux à tête noire constituent environ 75% de la population, les oiseaux à tête rouge environ 25%. Les oiseaux à tête jaune sont très rares et ils représentent une proportion d'un sur plusieurs milliers. Le menton et la partie supérieure de la gorge forment une bavette noire. L'arrière du capuchon, les côtés de la nuque, les côtés de la gorge et la partie basse de la poitrine constituent un bel ensemble bleu turquoise. La nuque est verte ou vert clair. Le manteau, le dos, les scapulaires et la partie supérieure du croupion présentent une riche teinte vert gazon qui vire au bleu turquoise sur la partie basse du croupion et les sus-caudales. La queue étagée dont les deux rectrices centrales forment une pointe est entièrement noire. Toutes les couvertures alaires et les plumes de vol sont grises ou gris-brun mais comme elles sont recouvertes par les longues scapulaires vertes, cela n'est visible que sur l'extrémité des primaires. Une étroite bande turquoise à peine visible entoure la gorge juste au dessus d'une tache circulaire de nuance pourpre qui marque la poitrine. La partie basse de la poitrine, les flancs et l'abdomen sont jaunes. La zone anale et les sous-caudales affichent une teinte blanchâtre. Le bec, d'aspect assez massif pour un oiseau de cette taille, est couleur corne avec une petite pointe rouge. Les pattes et les pieds sont jaune clair ou couleur paille. 
La femelle est colorée comme son partenaire mais toutes ses couleurs sont plus ternes et ses plumes caudales centrales sont plus courtes. La tache pectorale sous le collier présente une nuance plus rose ou rose foncé (pourpre chez le mâle). Les jeunes diamants possèdent une tête et un arrière du cou gris cendré qui devient olive sur le dos et sur la queue. Le dessous est brun très clair, nuancé de jaune pâle sur le ventre. La mandibule supérieure noirâtre contraste avec la mandibule inférieure rose clair.",Diamant de Gould,220,220.Diamant_de_gould,Diamant de Gould
52,"Linnaeus, 1758",,  - ,aestiva,"
 ",Psittacidés,https://www.oiseaux.net/photos/denis.chavigny/images/amazone.a.front.bleu.dcha.0p.jpg,https://www.oiseaux.net/maps/images/amazone.a.front.bleu.1.200.w.png,Psittaciformes,  ,  37 cm,Amazone à front bleu (Amazona aestiva) est un oiseau qui appartient à la famille des Psittacidés.,Amazone à front bleu,203,203.Amazone_a_front_bleu,Amazone à front bleu
53,"Wilson, A, 1812",,  - ,vociferus,"
 ",Caprimulgidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/engoulevent.bois-pourri.bkma.0p.jpg,https://www.oiseaux.net/maps/images/engoulevent.bois-pourri.1.200.w.png,Caprimulgiformes,  42 à 69 g,  27 cm,Engoulevent bois-pourri (Antrostomus vociferus) est un oiseau qui appartient à la famille des Caprimulgidés.,Engoulevent bois-pourri,105,105.Whip_poor_Will,Engoulevent bois-pourri
54,"Audubon, 1844",,  41 cm.,neglecta,"
 ",Ictéridés,https://www.oiseaux.net/photos/serge.nicolle/images/sturnelle.de.l.ouest.seni.0p.jpg,https://www.oiseaux.net/maps/images/sturnelle.de.l.ouest.1.200.w.png,Passériformes,  89 à 115 g,  21 cm,"Le mâle nuptial affiche un capuchon brun-noirâtre avec une raie centrale blanche qui contraste. Le large sourcil blanchâtre qui surmonte l'iris noir est sensiblement jaune en avant de l'oeil. Les lores et les couvertures auriculaires sont gris. La strie noire qui part de l'arrière de l'oeil est de la même couleur que le capuchon. L'anneau oculaire blanchâtre est à peine perceptible sur la face pâle. L'ensemble des parties supérieures est parcouru par un réseau complexe de barres et de stries. Chaque plume du dos et des scapulaires est gris-brun sombre avec une large terminaison brun clair. Elle est bordée de chamois sur toute la longueur des deux côtés. Ces pâles marques s'usent au cours de la saison si bien que le dos paraît plus sombre à la fin de l'été. Les grandes couvertures portent de fines barres blanches. La queue est barrée, les trois rectrices extérieures sont blanchâtres avec une petite tache sombre à leur extrémité. Le dessous est majoritairement jaune éclatant du menton jusqu'à la zone anale. La poitrine porte un large V Noir. Les flancs sont gris pâle avec des stries noires jusqu'aux sous-caudales. Le bec est bleu grisâtre avec une pointe et culmen sombre. Les pattes sont couleur chair. 
En période non-nuptiale, le mâle possède un plumage frais qui, contradictoirement, le fait paraître plus terne et masque partiellement ses caractères les plus remarquables. Ainsi, le dos et les scapulaires présentent des franges complètes pâles qui donnent au dessus un aspect écaillé. Le jaune des parties inférieures affiche un aspect plus terne en raison de la bordure chamois des plumes. De même, le V noir de la poitrine est moins visible car en partie masqué par des bordures grises ou chamois. Le jaune des joues est complètement obscurci par des terminaisons sombres. 
La femelle nuptiale est presque identique à son partenaire, si ce n'est qu'elle paraît plus pâle et affiche moins de jaune sur les joues. Le V noir pectoral est plus réduit. Une femelle seule ne peut être identifiée à coup sûr. Elle ne peut l'être qu'en présence d'un mâle, et en utilisant des critères comme le chant et le comportement. La femelle en plumage non-nuptial, est plus terne, pour les même raisons que le mâle. Les immatures se distinguent des adultes par la série de petites taches sombres qui maculent la poitrine et qui remplacent le V habituel de leurs parents.",Sturnelle de l'Ouest,88,088.Western_Meadowlark,Sturnelle de l'Ouest
55,"Wilson, A, 1812",,  - ,ossifragus,"
 ",Corvidés,https://www.oiseaux.net/photos/serge.nicolle/images/corneille.de.rivage.seni.0p.jpg,https://www.oiseaux.net/maps/images/corneille.de.rivage.1.200.w.png,Passériformes,  195 à 332 g,  41 cm,Corneille de rivage (Corvus ossifragus) est un oiseau qui appartient à la famille des Corvidés.,Corneille de rivage,30,030.Fish_Crow,Corneille de rivage
56,"Brehm, CL, 1822",,  85 à 100 cm.,brachyrhynchos,"
 ",Corvidés,https://www.oiseaux.net/photos/denis.chavigny/images/corneille.d.amerique.dcha.0p.jpg,,Passériformes,  315 à 620 g,  53 cm,Corneille d'Amérique (Corvus brachyrhynchos) est un oiseau qui appartient à la famille des Corvidés.,Corneille d'Amérique,29,029.American_Crow,Corneille d'Amérique
57,"Brandt, JF, 1837",,  108 cm.,penicillatus,"
 ",Phalacrocoracidés,https://www.oiseaux.net/photos/serge.nicolle/images/cormoran.de.brandt.seni.0p.jpg,https://www.oiseaux.net/maps/images/cormoran.de.brandt.1.200.w.png,Suliformes,  1400 à 2700 g,  89 cm,"Les cormorans de Brandt sont grands et possèdent un long bec mince. Les adultes sont d'un noir uni, alors que les juvéniles allient un mélange de chamois-brun et de noir. Les oiseaux de tout âge et de toute phase présentent des taches pâles aux joues. Pendant la période nuptiale, les adultes affichent une large tache bleue à la base du bec, juste en avant des joues claires. De tous les cormorans, c'est sûrement l'une des espèces qui possède la queue la plus brève. Les sexes sont quasiment identiques, le mâle étant légèrement plus grand. 

Les jeunes et les immatures sont noir brunâtre, avec du marron clair aux parties inférieures, d'une teinte plus pâle au niveau pectoral où il forme un V pâle dans la zone de transition entre le cou et la poitrine.",Cormoran de Brandt,23,023.Brandt_Cormorant,Cormoran de Brandt
58,"Kerr, 1792",LC,  - ,hollandicus,"
 ",Cacatuidés,https://www.oiseaux.net/photos/denis.chavigny/images/calopsitte.elegante.dcha.0p.jpg,,Psittaciformes,  80 à 100 g,  33 cm,"Avec la Perruche ondulée, il s'agit dans doute d'un des perroquets et des oiseaux de cage les plus communs dans le monde.
Chez les adultes, la tête et la base de la huppe sont jaunes. Les couvertures auriculaires dont la partie postérieure est généralement plus pâle sont orange. La nuque et les longues plumes de la crête sont grises. Les parties supérieures présentent une teinte gris-tourterelle foncé. Les ailes sont grises mais affichent un large placard blanc au niveau des couvertures et des secondaires. Les parties inférieures sont d'un gris plus clair. La queue varie du gris moyen au gris sombre mais la base des sus-caudales est plus pâle. Le bec est gris, les iris brun sombre. Les pattes sont brun-gris. 
La femelle et les immatures mâles ont une tache orange moins contrastée sur la face. Le croupion, la queue et les flancs portent de fines barres qui sont assez visibles. Les rectrices externes jaunâtres sont barrées de gris. Le dessous des rectrices est légèrement barré.",Calopsitte élégante,250,250.Perruche_calopsitte,Calopsitte élégante
59,"Swainson, 1827",LC,  - ,thalassinus,"
 ",Trochilidés,https://www.oiseaux.net/photos/serge.nicolle/images/colibri.thalassin.seni.1p.jpg,https://www.oiseaux.net/maps/images/colibri.thalassin.1.200.w.png,Apodiformes,  ,  12 cm,"Le dessus du plumage est vert bleuâtre avec une bande subterminale bleu-noir sur la queue. Ces oiseaux multicolores, de taille moyenne, varient de 10,5 à 11,5 centimètres. La queue exhibe une large bande violette sur la partie centrale des rectrices. Les décorations faciales et auriculaires exposent de remarquables brillances jaunes et dorées qui se poursuivent jusqu'aux taches vertes de la poitrine. 
Chez la femelle (seulement 9 g), les décorations de la face et de la poitrine sont légèrement plus visibles. Chez les juvéniles, les rémiges sont brun-ardoise ou avec une nuance de bronze foncé sur la nuque et le croupion. La race nominale se distingue très nettement des autres sous-espèces par son évidente tache bleu-violet. La race cyanotus, plus décrite dans l'encyclopédie du Venezuela par Kiliti comme un colibri montagnard, a un dessous plus pâle et plus remarquable.",Colibri thalassin,70,070.Green_Violetear,Colibri thalassin
60,,,,,,,https://www.oiseaux.net/photos/ricketdi/images/troglodyte.des.forets.fori.2p.152.h.jpg,,,,,Troglodyte des forêts (Troglodytes hiemalis) est un oiseau qui appartient à la famille des Troglodytidés.,Troglodyte des forêts,199,199.Winter_Wren,Troglodyte des forêts
61,"Lesson, R, 1829",LC,  12 cm.,anna,"
 ",Trochilidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/colibri.d.anna.bkma.0p.jpg,,Apodiformes,  3 à 5 g,  11 cm,"Chez les Colibris d'Anna, les mâles ont un bec court, rectiligne et de couleur noire. La quasi-totalité des parties inférieures sont vert doré. La tête et les longues plumes latérales de la gorge exhibent une magnifique couleur rouge-rose foncé avec des reflets brillants. Les parties inférieures sont vertes avec de discrètes nuances grisâtres.
Les sous-caudales vertes sont bordées de gris. Le dos et les rectrices centrales sont vert doré. Les rectrices externe sont bronze verdâtre sombre. 
Les femelles sont semblables au mâle. La tête est grise avec une petit tache blanche en arrière de l'œil. Le masque rouge-rose des mâles est absent. De petits disques rouges apparaissent sur la gorge avec l'âge. Les rectrices médianes sont vert doré, le reste est noirâtre. Les rectrices extérieures ont des pointes terminales blanches.
Les juvéniles ont une livrée qui est assez identique à celle de la femelle.",Colibri d'Anna,67,067.Anna_Hummingbird,Colibri d'Anna
62,"Linnaeus, 1758",LC,  8 à 11 cm.,colubris,"
 ",Trochilidés,https://www.oiseaux.net/photos/denis.chavigny/images/colibri.a.gorge.rubis.dcha.1p.jpg,,Apodiformes,  ,  9 cm,"Le Colibri à gorge rubis est reconnaissable à son long bec sombre et légèrement incurvé. Le mâle nuptial présente un plumage vert avec des reflets irisés. Il y a une fine tache blanche en arrière de l'œil. Une épaisse ligne noire traverse le haut des couverture auriculaires, des lores jusqu'en haut des joues, formant plus qu'une large moustache. La gorge couleur rubis est soulignée par une régulière ligne blanche qui marque une séparation entre la tête et le haut de la poitrine. Le reste des parties inférieures gris sombre est encadré par des flancs verdâtres.
Les ailes sont foncées, la queue est fourchue et brune sur les rectrices externes. Les rectrices centrales sont aussi vertes que le dos. Les pieds ont une teinte foncée. 
Les femelles ressemblent au mâle mais leur gorge et leur menton sont blancs avec des mouchetures sombres. La queue est moins fourchue et les rectrices externes sont arrondies avec des extrémités blanches. Le Colibri à gorge noire (Archilochus aleandri) ne peut être confondu avec le Colibri à gorge rubis.
Les immatures ont un menton plus ou moins taché de rubis.",Colibri à gorge rubis,68,068.Ruby_throated_Hummingbird,Colibri à gorge rubis
63,"Bruch, 1855",,  - ,brevirostris,"
 ",Laridés,https://www.oiseaux.net/photos/serge.nicolle/images/mouette.des.brumes.seni.1p.jpg,https://www.oiseaux.net/maps/images/mouette.des.brumes.1.200.w.png,Charadriiformes,  340 à 450 g,  38 cm,Mouette des brumes (Rissa brevirostris) est un oiseau qui appartient à la famille des Laridés.,Mouette des brumes,84,084.Red_legged_Kittiwake,Mouette des brumes
64,"Linnaeus, 1758",,  19 à 22 cm.,tristis,"
 ",Fringillidés,https://www.oiseaux.net/photos/denis.chavigny/images/chardonneret.jaune.dcha.0p.jpg,,Passériformes,  11 à 20 g,  13 cm,Chardonneret jaune (Spinus tristis) est un oiseau qui appartient à la famille des Fringillidés.,Chardonneret jaune,47,047.American_Goldfinch,Chardonneret jaune
65,,LC,,,,,https://www.oiseaux.net/photos/stephane.merle/images/cassenoix.d.amerique.stme.1p.152.h.jpg,https://www.oiseaux.net/maps/images/cassenoix.d.amerique.1.200.w.png,,,,"Le Cassenoix d'Amérique possède un bec relativement long, fin, pointu et légèrement recourbé. Il est orné de courtes vibrisses blanchâtres. Les lores et la face sont blanchâtres. Le reste de la tête et la plus grande partie du corps sont gris-pigeon. Le croupion est gris plus sombre, virant au gris noirâtre sur les couvertures sus-caudales. La partie basse du ventre et la zone anale sont blanches. En plumage usé, la tête peut paraître entièrement blanchâtre. Les couvertures alaires, excepté les tertiaires, sont noir brillant avec de larges extrémités blanches sur les secondaires. Le dessous des ailes est identique. La queue est blanche excepté la paire centrale de rectrices qui est noir brillant et la paire suivante qui est légèrement tachetée de noir. Les pattes et les pieds sont noirs, l'iris brun sombre.",Cassenoix d'Amérique,93,093.Clark_Nutcracker,Cassenoix d'Amérique
66,"Gmelin, JF, 1789",LC,  24 cm.,gramineus,"
 ",Passerellidés,https://www.oiseaux.net/photos/serge.nicolle/images/bruant.vesperal.seni.0p.jpg,https://www.oiseaux.net/maps/images/bruant.vesperal.1.200.w.png,Passériformes,  20 à 28 g,  18 cm,"Ce bruant à la grande taille et à la longue queue présente un ensemble gris-brun abondamment strié de sombre sur la poitrine et sur le dos. Les rectrices extérieures blanches sont parfaitement visibles dans toutes les situations. Le bruant vespéral possède un anneau orbital blanc qui entoure des iris brun sombre et des couvertures auriculaires pâles légèrement bordées de noir. Les scapulaires portent une tache roussâtre, rarement visible sur le terrain. Les pattes sont roses. Les deux sexes sont absolument identiques. Les immatures ressemblent aux adultes, avec toutefois la tache rousse absente de l'aile.",Bruant vespéral,131,131.Vesper_Sparrow,Bruant vespéral
67,"Gmelin, JF, 1789",,  - ,savannarum,"
 ",Passerellidés,https://www.oiseaux.net/photos/serge.nicolle/images/bruant.sauterelle.seni.0p.jpg,https://www.oiseaux.net/maps/images/bruant.sauterelle.1.200.w.png,Passériformes,  - ,  13 cm,Bruant sauterelle (Ammodramus savannarum) est un oiseau qui appartient à la famille des Passerellidés.,Bruant sauterelle,121,121.Grasshopper_Sparrow,Bruant sauterelle
68,,,,,,,,,,,,Bruant maritime (Ammospiza maritima) est un oiseau qui appartient à la famille des Passerellidés.,Bruant maritime,128,128.Seaside_Sparrow,Bruant maritime
69,"Bechstein, 1798",,  19 à 21 cm.,passerina,"
 ",Passerellidés,https://www.oiseaux.net/photos/denis.chavigny/images/bruant.familier.dcha.0p.jpg,,Passériformes,  11 à 15 g,  14 cm,Bruant familier (Spizella passerina) est un oiseau qui appartient à la famille des Passerellidés.,Bruant familier,116,116.Chipping_Sparrow,Bruant familier
70,"Lawrence, 1854",,  122 à 140 cm.,californicus,"
 ",Laridés,https://www.oiseaux.net/photos/serge.nicolle/images/goeland.de.californie.seni.0p.jpg,https://www.oiseaux.net/maps/images/goeland.de.californie.1.200.w.png,Charadriiformes,  432 à 885 g,  58 cm,Goéland de Californie (Larus californicus) est un oiseau qui appartient à la famille des Laridés.,Goéland de Californie,59,059.California_Gull,Goéland de Californie
71,"Swainson, 1832",,  20 cm.,pallida,"
 ",Passerellidés,https://www.oiseaux.net/photos/serge.nicolle/images/bruant.des.plaines.seni.1p.jpg,https://www.oiseaux.net/maps/images/bruant.des.plaines.1.200.w.png,Passériformes,  12 à 15 g,  14 cm,"Les bruants des plaines sont des petits oiseaux à la longue queue. A l'image des autres bruants du genre spizella (qui comprend le bruant de Brewer, le bruant familier, le bruant hudsonien, le bruant des champs et le bruant à menton noir), les bruants des plaines présentent un bec court, une poitrine claire et une barre alaire. Les adultes en plumage nuptial ont un capuchon brun foncé avec de fines stries caractéristiques et une bande médiane blanche. Les joues chamois sont mises en valeur par un trait oculaire et une moustache sombre. La sous-moustache et le sourcil forment une large ligne blanche en seconde épaisseur. La poitrine et la nuque affichent une couleur gris uniforme. Le dos et les ailes sont majoritairement bruns avec des rayures noires. Le croupion est brun. 
Les adultes en plumage hivernal et les jeunes ressemblent aux bruants de Brewer et aux bruants familiers. Il n'est pas très facile de différencier les 3 espèces, surtout lorsque leurs aires de répartition coïncident. Deux caractères particuliers peuvent cependant apporter des éléments de réponse : 1°) Les taches des joues et le trait submoustachial, moins éclatants en période hivernale que pendant la saison de nidification, sont encore moins proéminents que ceux des autres bruants non-nuptiaux du genre spizella. 2°) En plumage éclipse, le bruant des plaines a tendance à afficher des parties supérieures plus chaudes et plus chamois, alors que ses proches parents sont généralement plus gris.",Bruant des plaines,117,117.Clay_colored_Sparrow,Bruant des plaines
72,"Allen, JA, 1875",,  - ,nelsoni,"
 ",Passerellidés,https://www.oiseaux.net/photos/denis.chavigny/images/bruant.de.nelson.dcha.0p.jpg,https://www.oiseaux.net/maps/images/bruant.de.nelson.1.200.w.png,Passériformes,  - ,  14 cm,Bruant de Nelson (Ammospiza nelsoni) est un oiseau qui appartient à la famille des Passerellidés.,Bruant de Nelson,126,126.Nelson_Sharp_tailed_Sparrow,Bruant de Nelson
73,,,,,,,,,,,,Bruant de Le Conte (Ammospiza leconteii) est un oiseau qui appartient à la famille des Passerellidés.,Bruant de Le Conte,124,124.Le_Conte_Sparrow,Bruant de Le Conte
74,,,,,,,,,,,,Bruant de Henslow (Centronyx henslowii) est un oiseau qui appartient à la famille des Passerellidés.,Bruant de Henslow,123,123.Henslow_Sparrow,Bruant de Henslow
75,"Cassin, 1856",,  - ,breweri,"
 ",Passerellidés,https://www.oiseaux.net/photos/serge.nicolle/images/bruant.de.brewer.seni.0p.jpg,https://www.oiseaux.net/maps/images/bruant.de.brewer.1.200.w.png,Passériformes,  - ,  15 cm,Bruant de Brewer (Spizella breweri) est un oiseau qui appartient à la famille des Passerellidés.,Bruant de Brewer,115,115.Brewer_Sparrow,Bruant de Brewer
76,,,,,,,,,,,,Bruant de Baird (Centronyx bairdii) est un oiseau qui appartient à la famille des Passerellidés.,Bruant de Baird,113,113.Baird_Sparrow,Bruant de Baird
77,"Cassin, 1850",,  22 cm.,bilineata,"
 ",Passerellidés,https://www.oiseaux.net/photos/serge.nicolle/images/bruant.a.gorge.noire.seni.0p.jpg,,Passériformes,  11 à 15 g,  15 cm,Bruant à gorge noire (Amphispiza bilineata) est un oiseau qui appartient à la famille des Passerellidés.,Bruant à gorge noire,114,114.Black_throated_Sparrow,Bruant à gorge noire
78,"Nuttall, 1840",,  - ,querula,"
 ",Passerellidés,https://www.oiseaux.net/photos/serge.nicolle/images/bruant.a.face.noire.seni.0p.jpg,https://www.oiseaux.net/maps/images/bruant.a.face.noire.1.200.w.png,Passériformes,  - ,  19 cm,Bruant à face noire (Zonotrichia querula) est un oiseau qui appartient à la famille des Passerellidés.,Bruant à face noire,122,122.Harris_Sparrow,Bruant à face noire
79,"Latham, 1790",LC,  - ,galerita,"
 ",Cacatuidés,https://www.oiseaux.net/photos/edward.lear/images/cacatoes.a.huppe.jaune.edle.0p.jpg,,Psittaciformes,  815 à 975 g,  55 cm,"Le cacatoès à huppe jaune est un grand perroquet avec un plumage à dominante blanche. Chez les adultes de la race nominale, les couvertures auriculaires, les bases des plumes de la gorge et des joues sont infiltrées de jaune pâle. Comme son nom l'indique bien, la crête, formée de 6 plumes érectiles légèrement orientées vers l'avant, est jaune. Le dessous des ailes et de la queue son teintés de jaune pâle. L'anneau qui entoure l'œil affiche une couleur blanche. L'iris est brun foncé chez le mâle, brun rougeâtre chez la femelle. Le bec est gris noirâtre, les pattes grises. Les juvéniles ne sont guère différents des adultes. Chez certains jeunes oiseaux, quelques plumes clairsemées sont infiltrées de gris pâle. Les iris sont brun pâle 
Les cinq sous-espèces sont faiblement différenciées : C.g. galerita, est le seul qui possède du jaune pâle sur les couvertures auriculaires et à la base des plumes des joues et de la gorge. C.g. queenslandica, présente une taille inférieure, avec un bec plus large et très strié. C.g. fitzroyi, se distingue principalement par la largeur de son bec et son cercle oculaire bleu pâle. C.g. triton, a les plumes de la crête plus larges et le cercle oculaire bleu. C.g. eleonora, ressemble au précédent mais il a le bec plus petit.
Le cacatoès à huppe jaune peut être confondu avec le Cacatoès soufré (Cacatua sulphurea). Toutefois ce dernier est plus petit (33 cm) et occupe une aire de distribution totalement différente.",Cacatoès à huppe jaune,210,210.Cacatoes_a_huppe_jaune,Cacatoès à huppe jaune
80,,,,,,,https://www.oiseaux.net/photos/patrick.gallet/images/macareux.rhinoceros.paga.1p.152.h.jpg,,,,,Macareux rhinocéros (Cerorhinca monocerata) est un oiseau qui appartient à la famille des Alcidés.,Macareux rhinocéros,8,008.Rhinoceros_Auklet,Macareux rhinocéros
81,"Gray, GR, 1859",LC,  125 cm.,chloropterus,"
 ",Psittacidés,https://www.oiseaux.net/photos/jan.dungel/images/ara.chloroptere.jadu.0p.jpg,,Psittaciformes,  1050 à 1700 g,  95 cm,"Chez le mâle adulte, le front, le capuchon, les côtés du cou, la nuque et le manteau forment un bel ensemble rouge. Les couvertures moyennes, les scapulaires et les tertiaires sont vertes. Le dos, le croupion et les sus-caudales sont bleus. La queue est rouge avec une pointe bleue. Le dessous des ailes et les parties inférieures sont entièrement rouges, excepté les couvertures sous-caudales qui sont bleu-clair. La mandibule supérieure est majoritairement blanc-ivoire, sauf le bord tranchant qui est noir. La mandibule inférieure est noire. Les joues sont recouvertes d'une peau nue blanche sur lesquelles serpentent de fines lignes de plumes rouges. Les iris sont jaune pâle. Les pieds sont noirs.
Les femelles sont semblables à leurs partenaires. Les immatures ont une queue plus brève et un iris brun. Ils ont parfois également un peu de jaune sur les couvertures alaires.",Ara chloroptère,204,204.Ara_choloroptere,Ara chloroptère
82,"Swainson, 1827",,  - ,sulcirostris,"
 ",Cuculidés,https://www.oiseaux.net/photos/serge.nicolle/images/ani.a.bec.cannele.seni.1p.jpg,https://www.oiseaux.net/maps/images/ani.a.bec.cannele.1.200.w.png,Cuculiformes,  ,  32 cm,Ani à bec cannelé (Crotophaga sulcirostris) est un oiseau qui appartient à la famille des Cuculidés.,Ani à bec cannelé,4,004.Groove_billed_Ani,Ani à bec cannelé
